Country,y2000,y1990,y1980,y1970,y1960
United Kingdom,677751,640145,669149,686099,833055
Ireland,156474,169827,197817,251375,338722
Denmark,31422,34999,42732,61410,85060
Finland,21408,22313,29172,45499,67624
Iceland,5553,5071,4156,2895,2780
Norway,32207,42240,63316,97243,152698
Sweden,49724,53676,77157,127070,214491
Belgium,33895,34366,36487,41412,50294
Luxembourg,2150,2053,3125,3531,4360
Netherlands,94570,96198,103136,110570,118415
Austria,63648,87673,145607,214014,304507
France,151154,119233,120215,105385,111582
Germany,706704,711929,849384,832965,989815
Switzerland,43106,39130,42804,49732,61568
Greece,165750,177398,210998,177275,159167
Italy,473338,580592,831922,1008533,1256999
Malta,8560,9614,10182,0,0
Portugal,203119,210122,209968,119899,80276
Spain,82858,76415,73735,57488,44999
Albania,38663,5627,7381,9180,9618
Bulgaria,35090,8579,8463,8609,8223
Czechoslovakia,83081,87020,112707,160899,227618
Estonia,9785,9210,12169,12163,13991
Hungary,92017,110337,144368,183236,245252
Latvia,27232,26179,34349,41707,50681
Lithuania,28490,29745,48194,76001,121475
Poland,466742,388328,418128,548107,747750
Romania,135966,91106,66994,70687,84575
Soviet Union (former),838809,333725,406022,463462,690598
Yugoslavia (former),278314,141516,152967,153745,165798
China,988857,529837,286120,172132,99735
Hong Kong,203580,147131,80380,0,0
Japan,347539,290128,221794,120235,109175
Korea,864125,568397,289885,38711,11171
Macau,6718,5107,2959,0,0
Taiwan,326215,244102,75353,0,0
Afghanistan,45195,28444,3760,0,0
Bangladesh,95294,21414,4989,0,0
India,1022552,450406,206087,51000,12296
Iran,283226,210941,121505,0,0
Nepal,11715,2262,844,0,0
Pakistan,223477,91889,30774,6182,1708
Sri Lanka,25263,14022,5576,0,0
Burma,32588,19835,11236,0,0
Cambodia,136978,118833,20175,0,0
Indonesia,72552,48387,29920,0,0
Laos,204284,171577,54881,0,0
Malaysia,49459,33834,10473,0,0
Philippines,1369070,912674,501440,184842,104843
Singapore,20762,12889,5598,0,0
Thailand,169801,106919,54803,0,0
Vietnam,988174,543262,231120,0,0
Cyprus,11087,10060,8806,0,0
Iraq,89892,44916,32121,0,0
Israel,109719,86048,66961,35858,17724
Jordan,46794,31871,21587,0,0
Kuwait,20367,8889,4337,0,0
Lebanon,105910,86369,52674,22396,22217
Palestine 5 ,0,21070,0,0,0
Saudi Arabia,21083,12632,17317,0,0
Syria,54561,36782,22081,14962,16717
Turkey,78378,55087,51915,48085,52228
United Arab Emirates,6744,1656,534,0,0
Yemen,19210,4933,3093,0,0
Eritrea,17518,0,0,0,0
Ethiopia,69531,34805,7516,0,0
Kenya,40682,14371,6250,0,0
Somalia,35760,2437,691,0,0
Tanzania,11389,6282,3246,0,0
Uganda,11741,6684,3804,0,0
Zambia,5987,2954,1346,0,0
Zimbabwe,10686,4767,3183,0,0
Angola,4365,2252,1094,0,0
Cameroon,11765,3161,1214,0,0
Zaire,4989,3387,1411,0,0
Algeria,10882,4629,3853,0,0
Egypt,113396,66313,43424,20666,8316
Libya,5364,4037,6427,0,0
Morocco,34682,15541,9896,0,0
Sudan,19790,4423,2711,0,0
Tunisia,6330,4101,3466,0,0
South Africa,63558,34707,16103,7667,5394
Cape Verde,26606,14368,10457,18680,8302
Gambia,5765,1485,0,0,0
Ghana,65572,20889,7564,0,0
Guinea,5062,1032,0,0,0
Ivory Coast (Cote d'Ivoire),7173,1388,0,0,0
Liberia,39029,11455,3728,0,0
Nigeria,134940,55350,25528,0,0
Senegal,10534,2287,762,0,0
Sierra Leone,20831,7217,1963,0,0
Australia,60965,42267,36120,24271,22209
New Zealand,22872,15415,11413,8117,5826
Melanesia,32305,16759,8241,0,0
Micronesia,16469,6143,1399,0,0
Polynesia,35194,23471,19578,0,0
Antigua & Barbuda,18324,12022,3920,0,0
Aruba,3814,3363,2597,0,0
Bahamas,28076,21633,13993,0,0
Barbados,52172,43015,26847,0,0
Cuba,872716,736971,607814,439048,79150
Dominica,15639,19529,3296,0,0
Dominican Republic,687677,347858,169147,61228,11883
Grenada,29272,17730,7101,0,0
Haiti,419317,225393,92395,28026,4816
Jamaica,553827,334140,196811,68576,24759
Montserrat,3905,3493,1212,0,0
Netherlands Antilles,3428,3426,5123,0,0
St. Kitts-Nevis,11054,7447,1903,0,0
St. Lucia,13524,6959,1901,0,0
St. Vincent & the Grenadines,19984,12824,4044,0,0
Trinidad & Tobago,197398,115710,65907,20673,0
Mexico,9177487,4298014,2199221,759711,575902
Belize,40151,29957,14436,8860,2780
Costa Rica,71870,43530,29639,16691,5425
El Salvador,817336,465433,94447,15717,6310
Guatemala,480665,225739,63073,17356,5381
Honduras,282852,108923,39154,19118,6503
Nicaragua,220335,168659,44166,16125,9474
Panama,105177,85737,60740,20046,13076
Argentina,125218,92563,68887,44803,16579
Bolivia,53278,31303,14468,6872,2168
Brazil,212428,82489,40919,27069,13988
Chile,80804,55681,35127,15393,6259
Colombia,509872,286124,143508,63538,12582
Ecuador,298626,143314,86128,36663,7670
Guyana.,211189,120698,48608,0,0
Paraguay.,11980,6057,2858,0,595
Peru,278186,144199,55496,21663,7102
Suriname,5579,2860,1433,0,0
Uruguay,25038,20766,13278,5092,1170
Venezuela,107031,42119,33281,11348,6851
Canada,820771,744830,842859,812421,952500
Bermuda,8379,7972,8844,0,0
