Code,Country,y2000,y2000,y1990,y1980,y1970,y1960
AFG,Afghanistan,45195,45195,28444,3760,0,0
ALB,Albania,38663,38663,5627,7381,9180,9618
DZA,Algeria,10882,10882,4629,3853,0,0
AGO,Angola,4365,4365,2252,1094,0,0
ATG,Antigua & Barbuda,18324,18324,12022,3920,0,0
ARG,Argentina,125218,125218,92563,68887,44803,16579
ABW,Aruba,3814,3814,3363,2597,0,0
AUS,Australia,60965,60965,42267,36120,24271,22209
AUT,Austria,63648,63648,87673,145607,214014,304507
BHS,Bahamas,28076,28076,21633,13993,0,0
BGD,Bangladesh,95294,95294,21414,4989,0,0
BRB,Barbados,52172,52172,43015,26847,0,0
BEL,Belgium,33895,33895,34366,36487,41412,50294
BLZ,Belize,40151,40151,29957,14436,8860,2780
BMU,Bermuda,8379,8379,7972,8844,0,0
BOL,Bolivia,53278,53278,31303,14468,6872,2168
BRA,Brazil,212428,212428,82489,40919,27069,13988
BGR,Bulgaria,35090,35090,8579,8463,8609,8223
MMR,Burma,32588,32588,19835,11236,0,0
KHM,Cambodia,136978,136978,118833,20175,0,0
CMR,Cameroon,11765,11765,3161,1214,0,0
CAN,Canada,820771,820771,744830,842859,812421,952500
CPV,Cape Verde,26606,26606,14368,10457,18680,8302
CHL,Chile,80804,80804,55681,35127,15393,6259
CHN,China,988857,988857,529837,286120,172132,99735
COL,Colombia,509872,509872,286124,143508,63538,12582
CRI,Costa Rica,71870,71870,43530,29639,16691,5425
CUB,Cuba,872716,872716,736971,607814,439048,79150
CYP,Cyprus,11087,11087,10060,8806,0,0
CZE,Czechoslovakia,83081,83081,87020,112707,160899,227618
DNK,Denmark,31422,31422,34999,42732,61410,85060
DMA,Dominica,15639,15639,19529,3296,0,0
DOM,Dominican Republic,687677,687677,347858,169147,61228,11883
ECU,Ecuador,298626,298626,143314,86128,36663,7670
EGY,Egypt,113396,113396,66313,43424,20666,8316
SLV,El Salvador,817336,817336,465433,94447,15717,6310
ERI,Eritrea,17518,17518,0,0,0,0
EST,Estonia,9785,9785,9210,12169,12163,13991
ETH,Ethiopia,69531,69531,34805,7516,0,0
FIN,Finland,21408,21408,22313,29172,45499,67624
FRA,France,151154,151154,119233,120215,105385,111582
GMB,Gambia,5765,5765,1485,0,0,0
DEU,Germany,706704,706704,711929,849384,832965,989815
GHA,Ghana,65572,65572,20889,7564,0,0
GRC,Greece,165750,165750,177398,210998,177275,159167
GRD,Grenada,29272,29272,17730,7101,0,0
GTM,Guatemala,480665,480665,225739,63073,17356,5381
GIN,Guinea,5062,5062,1032,0,0,0
GUY,Guyana.,211189,211189,120698,48608,0,0
HTI,Haiti,419317,419317,225393,92395,28026,4816
HND,Honduras,282852,282852,108923,39154,19118,6503
HKG,Hong Kong,203580,203580,147131,80380,0,0
HUN,Hungary,92017,92017,110337,144368,183236,245252
ISL,Iceland,5553,5553,5071,4156,2895,2780
IND,India,1022552,1022552,450406,206087,51000,12296
IDN,Indonesia,72552,72552,48387,29920,0,0
IRN,Iran,283226,283226,210941,121505,0,0
IRQ,Iraq,89892,89892,44916,32121,0,0
IRL,Ireland,156474,156474,169827,197817,251375,338722
ISR,Israel,109719,109719,86048,66961,35858,17724
ITA,Italy,473338,473338,580592,831922,1008533,1256999
,Ivory Coast (Cote d'Ivoire),,7173,1388,0,0,0
JAM,Jamaica,553827,553827,334140,196811,68576,24759
JPN,Japan,347539,347539,290128,221794,120235,109175
JOR,Jordan,46794,46794,31871,21587,0,0
KEN,Kenya,40682,40682,14371,6250,0,0
KOR,Korea,864125,864125,568397,289885,38711,11171
KWT,Kuwait,20367,20367,8889,4337,0,0
LAO,Laos,204284,204284,171577,54881,0,0
LVA,Latvia,27232,27232,26179,34349,41707,50681
LBN,Lebanon,105910,105910,86369,52674,22396,22217
LBR,Liberia,39029,39029,11455,3728,0,0
LBY,Libya,5364,5364,4037,6427,0,0
LTU,Lithuania,28490,28490,29745,48194,76001,121475
LUX,Luxembourg,2150,2150,2053,3125,3531,4360
,Macau,,6718,5107,2959,0,0
MYS,Malaysia,49459,49459,33834,10473,0,0
MLT,Malta,8560,8560,9614,10182,0,0
,Melanesia,,32305,16759,8241,0,0
MEX,Mexico,9177487,9177487,4298014,2199221,759711,575902
FSM,Micronesia,16469,16469,6143,1399,0,0
MSR,Montserrat,3905,3905,3493,1212,0,0
MAR,Morocco,34682,34682,15541,9896,0,0
NPL,Nepal,11715,11715,2262,844,0,0
NLD,Netherlands,94570,94570,96198,103136,110570,118415
ANT,Netherlands Antilles,3428,3428,3426,5123,0,0
NZL,New Zealand,22872,22872,15415,11413,8117,5826
NIC,Nicaragua,220335,220335,168659,44166,16125,9474
NGA,Nigeria,134940,134940,55350,25528,0,0
NOR,Norway,32207,32207,42240,63316,97243,152698
PAK,Pakistan,223477,223477,91889,30774,6182,1708
,Palestine 5,,0,21070,0,0,0
PAN,Panama,105177,105177,85737,60740,20046,13076
PRY,Paraguay.,11980,11980,6057,2858,0,595
PER,Peru,278186,278186,144199,55496,21663,7102
PHL,Philippines,1369070,1369070,912674,501440,184842,104843
POL,Poland,466742,466742,388328,418128,548107,747750
,Polynesia,,35194,23471,19578,0,0
PRT,Portugal,203119,203119,210122,209968,119899,80276
ROU,Romania,135966,135966,91106,66994,70687,84575
SAU,Saudi Arabia,21083,21083,12632,17317,0,0
SEN,Senegal,10534,10534,2287,762,0,0
SLE,Sierra Leone,20831,20831,7217,1963,0,0
SGP,Singapore,20762,20762,12889,5598,0,0
SOM,Somalia,35760,35760,2437,691,0,0
ZAF,South Africa,63558,63558,34707,16103,7667,5394
RUS,Soviet Union (former),838809,838809,333725,406022,463462,690598
ESP,Spain,82858,82858,76415,73735,57488,44999
LKA,Sri Lanka,25263,25263,14022,5576,0,0
KNA,St. Kitts-Nevis,11054,11054,7447,1903,0,0
LCA,St. Lucia,13524,13524,6959,1901,0,0
VCT,St. Vincent & the Grenadines,19984,19984,12824,4044,0,0
SDN,Sudan,19790,19790,4423,2711,0,0
SUR,Suriname,5579,5579,2860,1433,0,0
SWE,Sweden,49724,49724,53676,77157,127070,214491
CHE,Switzerland,43106,43106,39130,42804,49732,61568
SYR,Syria,54561,54561,36782,22081,14962,16717
TWN,Taiwan,326215,326215,244102,75353,0,0
TZA,Tanzania,11389,11389,6282,3246,0,0
THA,Thailand,169801,169801,106919,54803,0,0
TTO,Trinidad & Tobago,197398,197398,115710,65907,20673,0
TUN,Tunisia,6330,6330,4101,3466,0,0
TUR,Turkey,78378,78378,55087,51915,48085,52228
UGA,Uganda,11741,11741,6684,3804,0,0
ARE,United Arab Emirates,6744,6744,1656,534,0,0
GBR,United Kingdom,677751,677751,640145,669149,686099,833055
URY,Uruguay,25038,25038,20766,13278,5092,1170
VEN,Venezuela,107031,107031,42119,33281,11348,6851
VNM,Vietnam,988174,988174,543262,231120,0,0
YEM,Yemen,19210,19210,4933,3093,0,0
,Yugoslavia (former),,278314,141516,152967,153745,165798
COD,Zaire,4989,4989,3387,1411,0,0
ZMB,Zambia,5987,5987,2954,1346,0,0
ZWE,Zimbabwe,10686,10686,4767,3183,0,0
