Country,y2000,y1990,y1980,y1970,y1960
AFG,45195,28444,3760,0,0
ALB,38663,5627,7381,9180,9618
DZA,10882,4629,3853,0,0
AGO,4365,2252,1094,0,0
ATG,18324,12022,3920,0,0
ARG,125218,92563,68887,44803,16579
ABW,3814,3363,2597,0,0
AUS,60965,42267,36120,24271,22209
AUT,63648,87673,145607,214014,304507
BHS,28076,21633,13993,0,0
BGD,95294,21414,4989,0,0
BRB,52172,43015,26847,0,0
BEL,33895,34366,36487,41412,50294
BLZ,40151,29957,14436,8860,2780
BMU,8379,7972,8844,0,0
BOL,53278,31303,14468,6872,2168
BRA,212428,82489,40919,27069,13988
BGR,35090,8579,8463,8609,8223
MMR,32588,19835,11236,0,0
KHM,136978,118833,20175,0,0
CMR,11765,3161,1214,0,0
CAN,820771,744830,842859,812421,952500
CPV,26606,14368,10457,18680,8302
CHL,80804,55681,35127,15393,6259
CHN,988857,529837,286120,172132,99735
COL,509872,286124,143508,63538,12582
CRI,71870,43530,29639,16691,5425
CUB,872716,736971,607814,439048,79150
CYP,11087,10060,8806,0,0
CZE,83081,87020,112707,160899,227618
DNK,31422,34999,42732,61410,85060
DMA,15639,19529,3296,0,0
DOM,687677,347858,169147,61228,11883
ECU,298626,143314,86128,36663,7670
EGY,113396,66313,43424,20666,8316
SLV,817336,465433,94447,15717,6310
ERI,17518,0,0,0,0
EST,9785,9210,12169,12163,13991
ETH,69531,34805,7516,0,0
FIN,21408,22313,29172,45499,67624
FRA,151154,119233,120215,105385,111582
GMB,5765,1485,0,0,0
DEU,706704,711929,849384,832965,989815
GHA,65572,20889,7564,0,0
GRC,165750,177398,210998,177275,159167
GRD,29272,17730,7101,0,0
GTM,480665,225739,63073,17356,5381
GIN,5062,1032,0,0,0
GUY,211189,120698,48608,0,0
HTI,419317,225393,92395,28026,4816
HND,282852,108923,39154,19118,6503
HKG,203580,147131,80380,0,0
HUN,92017,110337,144368,183236,245252
ISL,5553,5071,4156,2895,2780
IND,1022552,450406,206087,51000,12296
IDN,72552,48387,29920,0,0
IRN,283226,210941,121505,0,0
IRQ,89892,44916,32121,0,0
IRL,156474,169827,197817,251375,338722
ISR,109719,86048,66961,35858,17724
ITA,473338,580592,831922,1008533,1256999
JAM,553827,334140,196811,68576,24759
JPN,347539,290128,221794,120235,109175
JOR,46794,31871,21587,0,0
KEN,40682,14371,6250,0,0
KOR,864125,568397,289885,38711,11171
KWT,20367,8889,4337,0,0
LAO,204284,171577,54881,0,0
LVA,27232,26179,34349,41707,50681
LBN,105910,86369,52674,22396,22217
LBR,39029,11455,3728,0,0
LBY,5364,4037,6427,0,0
LTU,28490,29745,48194,76001,121475
LUX,2150,2053,3125,3531,4360
MYS,49459,33834,10473,0,0
MLT,8560,9614,10182,0,0
MEX,9177487,4298014,2199221,759711,575902
FSM,16469,6143,1399,0,0
MSR,3905,3493,1212,0,0
MAR,34682,15541,9896,0,0
NPL,11715,2262,844,0,0
NLD,94570,96198,103136,110570,118415
ANT,3428,3426,5123,0,0
NZL,22872,15415,11413,8117,5826
NIC,220335,168659,44166,16125,9474
NGA,134940,55350,25528,0,0
NOR,32207,42240,63316,97243,152698
PAK,223477,91889,30774,6182,1708
PAN,105177,85737,60740,20046,13076
PRY,11980,6057,2858,0,595
PER,278186,144199,55496,21663,7102
PHL,1369070,912674,501440,184842,104843
POL,466742,388328,418128,548107,747750
PRT,203119,210122,209968,119899,80276
ROU,135966,91106,66994,70687,84575
SAU,21083,12632,17317,0,0
SEN,10534,2287,762,0,0
SLE,20831,7217,1963,0,0
SGP,20762,12889,5598,0,0
SOM,35760,2437,691,0,0
ZAF,63558,34707,16103,7667,5394
RUS,838809,333725,406022,463462,690598
ESP,82858,76415,73735,57488,44999
LKA,25263,14022,5576,0,0
KNA,11054,7447,1903,0,0
LCA,13524,6959,1901,0,0
VCT,19984,12824,4044,0,0
SDN,19790,4423,2711,0,0
SUR,5579,2860,1433,0,0
SWE,49724,53676,77157,127070,214491
CHE,43106,39130,42804,49732,61568
SYR,54561,36782,22081,14962,16717
TWN,326215,244102,75353,0,0
TZA,11389,6282,3246,0,0
THA,169801,106919,54803,0,0
TTO,197398,115710,65907,20673,0
TUN,6330,4101,3466,0,0
TUR,78378,55087,51915,48085,52228
UGA,11741,6684,3804,0,0
ARE,6744,1656,534,0,0
GBR,677751,640145,669149,686099,833055
URY,25038,20766,13278,5092,1170
VEN,107031,42119,33281,11348,6851
VNM,988174,543262,231120,0,0
YEM,19210,4933,3093,0,0
COD,4989,3387,1411,0,0
ZMB,5987,2954,1346,0,0
ZWE,10686,4767,3183,0,0
